Altium Designer Pick and Place Locations
D:\Projets\MTDistribution\BreadMachine II\HW\Project Outputs\Folder Structure\Pick Place\Pick Place for breadMachine_II.txt

========================================================================================================================
File Design Information:

Date:       01/10/19
Time:       15:02
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment             Layer    Footprint          Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              
R156       1K                  TopLayer R_0805(2012)       6725.000      5819.370      270      "Resistor SMD 0805 1K"                                                                                                                                   
R7         56K                 TopLayer R_0805(2012)       5115.000      6024.370      270      "Resistor SMD 0805 56K"                                                                                                                                  
R6         56K                 TopLayer R_0805(2012)       5015.000      6025.630      270      "Resistor SMD 0805 56K"                                                                                                                                  
R5         56K                 TopLayer R_0805(2012)       4915.000      6025.630      270      "Resistor SMD 0805 56K"                                                                                                                                  
R4         56K                 TopLayer R_0805(2012)       4415.000      6025.630      270      "Resistor SMD 0805 56K"                                                                                                                                  
R3         56K                 TopLayer R_0805(2012)       4314.605      6024.014      270      "Resistor SMD 0805 56K"                                                                                                                                  
R2         56K                 TopLayer R_0805(2012)       4215.000      6025.630      270      "Resistor SMD 0805 56K"                                                                                                                                  
R1         56K                 TopLayer R_0805(2012)       4115.000      6025.669      270      "Resistor SMD 0805 56K"                                                                                                                                  
Q32        NTD20P06L           TopLayer DPACK-3            1697.954      3075.038      270      "Trans MOSFET P-CH 60V 15.5A 3-Pin(2+Tab) DPAK T/R"                                                                                                      
P1         "AFFICHEUR HD44780" TopLayer HDR1X16_-_44780    4865.000      6245.000      180      "CONN HEADER 16POS VERT GOLD"                                                                                                                            
P15        "MOLEX 022112052"   TopLayer HDR1X5             6030.000      6235.000      180      "MOLEX   22-11-2052   WIRE-BOARD CONNECTOR HEADER 5 POSITION, 2.54MM"                                                                                    
P21        "MOLEX 022112082"   TopLayer HDR1X8             7283.907      5501.093      90       "MOLEX   22-11-2082.   WIRE-BOARD CONNECTOR HEADER 8POS, 2.54MM"                                                                                         
P20        "MOLEX 022112062"   TopLayer HDR1X6             7287.990      3473.937      90       "Molex KK 254 Series, Series Number 6373, 2.54mm Pitch 6 Way 1 Row Straight PCB Header, Solder Termination"                                              
P19        "MOLEX 022112052"   TopLayer HDR1X5             7284.996      2745.000      90       "MOLEX   22-11-2052   WIRE-BOARD CONNECTOR HEADER 5 POSITION, 2.54MM"                                                                                    
P18        "MOLEX 022112052"   TopLayer HDR1X5             6740.000      2745.000      90       "MOLEX   22-11-2052   WIRE-BOARD CONNECTOR HEADER 5 POSITION, 2.54MM"                                                                                    
P17        "MOLEX 022112042"   TopLayer HDR1X4             6740.000      2135.000      90       "KK® 254 Solid Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating"                                                                      
P16        "MOLEX 022112042"   TopLayer HDR1X4             7285.000      2135.000      90       "KK® 254 Solid Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating"                                                                      
P4         "MOLEX 022112062"   TopLayer HDR1X6             6745.000      3475.000      90       "Molex KK 254 Series, Series Number 6373, 2.54mm Pitch 6 Way 1 Row Straight PCB Header, Solder Termination"                                              
