Altium Designer Pick and Place Locations
D:\Projets\MTDistribution\BreadMachine II\HW_V2\Dossier\Generate Files\Pick Place\Pick Place for breadMachine_II.txt

========================================================================================================================
File Design Information:

Date:       31/01/20
Time:       19:26
Revision:   365bdd928b693fa7b88756c4067e62152d62fa26
Variant:    No variations
Units used: mil

Designator Comment             Layer    Footprint          Center-X(mil) Center-Y(mil) Rotation Description                                                                                                 
R59        4.7K                TopLayer R_0805(2012)       2905.000      1230.000      180      "Resistor SMD 0805 4.7K"                                                                                    
U2         MCP2200-I/SO        TopLayer SOIC-SO20_N        5833.475      1631.782      0        "USB 2.0 to UART Protocol Converter with GPIO"                                                              
R50        1K                  TopLayer R_0805(2012)       3870.000      3735.000      360      "Resistor SMD 0805 1K"                                                                                      
U3         PIC32MX575F512L     TopLayer TQFP100PT          5055.000      3315.000      315      "32-bit Microcontrollers - MCU 512K Flash 64KB USB 1xCAN"                                                   
C30        100nF               TopLayer C_0805(2012)X0.65  4836.190      2852.253      45       Capacitor                                                                                                   
C29        100nF               TopLayer C_0805(2012)X0.65  4733.264      2965.000      45       Capacitor                                                                                                   
R80        10K                 TopLayer R_0805(2012)       1215.000      4414.370      270      "Resistor SMD 0805 10K"                                                                                     
C26        10µF                TopLayer C_0805(2012)X0.65  5405.000      3630.000      45       "Capacitor non polarized 10µF SMD 0805"                                                                     
C32        100nF               TopLayer C_0805(2012)X0.65  5355.000      3680.000      225      Capacitor                                                                                                   
C31        100nF               TopLayer C_0805(2012)X0.65  5355.000      2975.000      135      Capacitor                                                                                                   
C25        100nF               TopLayer C_0805(2012)X0.65  5290.000      2915.000      135      Capacitor                                                                                                   
Q47        IRFZ44N             TopLayer TO220V             755.000       3960.000      270      "Trans MOSFET N-CH 55V 49A 3-Pin(3+Tab) TO-220AB"                                                           
F2         1A                  TopLayer FUS5X20            4105.000      1745.000      180      Fuse                                                                                                        
F1         10A                 TopLayer FUS5X20            4100.000      2250.000      180      Fuse                                                                                                        
R156       1K                  TopLayer R_0805(2012)       6500.000      5775.000      360      "Resistor SMD 0805 1K"                                                                                      
Q45        Triac               TopLayer to220v             1690.000      5885.000      270      "TRIAC 600V 8A TO220AB"                                                                                     
Q43        Triac               TopLayer TO220V             930.000       5885.000      270      "TRIAC 600V 8A TO220AB"                                                                                     
R34        1K                  TopLayer R_0805(2012)       6420.000      5270.000      180      "Resistor SMD 0805 1K"                                                                                      
P24        COOLER              TopLayer CO3P381            1690.000      6260.000      180      "Header, 3-Pin"                                                                                             
