Removed Pin From Net: NetName=NetC34_2 Pin=D14-3
Removed Pin From Net: NetName=24V Pin=F1-2
Removed Pin From Net: NetName=NetC34_2 Pin=P8-8
Removed Pin From Net: NetName=NetC34_2 Pin=P8-8
Removed Pin From Net: NetName=NetQ25_3 Pin=Q30-1
Removed Pin From Net: NetName=NetQ37_3 Pin=Q30-1
Removed Pin From Net: NetName=Carrousel 1 -_8 Pin=Q30-2
Removed Pin From Net: NetName=Carrousel 3 -_8 Pin=Q30-2
Removed Pin From Net: NetName=NetQ31_3 Pin=Q35-1
Removed Pin From Net: NetName=Carrousel 2 -_8 Pin=Q35-2
Removed Pin From Net: NetName=NetC34_2 Pin=R189-1
Change Component Footprint: Designator=P23 Old Footprint=HDR1X3 New Footprint=HDR1X4
Change Component Footprint: Designator=P10 Old Footprint=M20_1X6 New Footprint=M20_1X6B
Change Component Comment : Designator=R33 Old Comment=56K New Comment=4.7K
Change Component Comment : Designator=P23 Old Comment=Header 3 New Comment=DS18B20
Change Component Comment : Designator=Q22 Old Comment=IRFZ44N New Comment=IRFZ44
Change Component Comment : Designator=Q30 Old Comment=IRFZ44N New Comment=IRFZ44
Change Component Comment : Designator=Q30 Old Comment=IRFZ44N New Comment=IRFZ44
Change Component Comment : Designator=Q35 Old Comment=IRFZ44N New Comment=IRFZ44
Change Component Designator: OldDesignator=Q30 NewDesignator=Q35
Change Component Designator: OldDesignator=Q35 NewDesignator=Q47
Change Component Kind : Designator=P10 Old Kind=Standard New Kind=Standard (No BOM)
Change component parameters: Designator = "P10" ("P10"); Footprint = "M20_1X6"; UniqueID = "\OCXSBQBR\LTHMDYSV" ("\OCXSBQBR\LTHMDYSV")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/1089524.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/1089524.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.farnell.com/datasheets/5481.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.farnell.com/datasheets/5481.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Genre"; Value = "Embase"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "HARWIN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "M20-8770642"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Matériau du contact"; Value = "Laiton"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nombre de contacts"; Value = "6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nombre de rangées"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pas"; Value = "2.54"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pas, rang"; Value = "2.54"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Plaquage du contact"; Value = "Or"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "10=0,69, 20=0,66, 50=0,62, 100=0,6, 250=0,56, 500=0,49 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "YES"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "3471"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1517384"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SVHC"; Value = "No SVHC (19-Dec-2012)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Série"; Value = "M20"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminaison du contact"; Value = "Montage en surface vertical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type de connecteur"; Value = "Contact fil-à-carte"; VariantName = "[No Variations]"
Change component parameters: Designator = "R33" ("R33"); Footprint = "R 0805(2012)"; UniqueID = "\GYTKKNSG\WBGQGMQT" ("\GYTKKNSG\WBGQGMQT")
Change component parameters (AddParameter): Name = "Coefficient de température"; Value = "± 100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/1729047.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/1729047.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "MULTICOMP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MC01W080514K7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MSL"; Value = "(Non Applicable)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "5000=0,001 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Range"; Value = "MULTICOMP - MC Series"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Puissance"; Value = "100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Mounting"; Value = "CMS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "YES"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Résistance"; Value = "4.7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2129167"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SVHC"; Value = "No SVHC (20-Jun-2013)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tension"; Value = "150"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolérance de résistance"; Value = "± 1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type de boîtier de résistance"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type de packaging"; Value = "Full Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type de résistance"; Value = "Couche épaisse"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q22" ("Q22"); Footprint = "TO220 IRFZ44"; UniqueID = "\BCVJLYNN\SHHMFQZC" ("\BCVJLYNN\SHHMFQZC")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "TO-220AB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "MOSFETs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/6374/irfz44espbf-6374359.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/6374/irfz44espbf-6374359.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/17313/irfz44espbf-17313991.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
